date,vaccine,people_vaccinated,people_fully_vaccinated,total_vaccinations
2020-12-27,Pfizer/BioNTech,1263,0,1263
2020-12-28,Pfizer/BioNTech,3559,0,3559
2020-12-29,Pfizer/BioNTech,7017,0,7017
2020-12-30,Pfizer/BioNTech,10494,0,10494
2020-12-31,Pfizer/BioNTech,11808,0,11808
2021-01-01,Pfizer/BioNTech,12072,0,12072
2021-01-02,Pfizer/BioNTech,13329,0,13329
2021-01-03,Pfizer/BioNTech,14246,0,14246
2021-01-04,Pfizer/BioNTech,17821,0,17821
2021-01-05,Pfizer/BioNTech,22341,0,22341
2021-01-06,Pfizer/BioNTech,28167,0,28167
2021-01-07,Pfizer/BioNTech,36136,0,36136
2021-01-08,Pfizer/BioNTech,46101,0,46101
2021-01-09,Pfizer/BioNTech,48110,0,48110
2021-01-10,Pfizer/BioNTech,49832,0,49832
2021-01-11,Pfizer/BioNTech,59615,0,59615
2021-01-12,Pfizer/BioNTech,73017,0,73017
2021-01-13,Pfizer/BioNTech,86515,0,86515
2021-01-14,"Moderna, Pfizer/BioNTech",101700,0,101700
2021-01-15,"Moderna, Pfizer/BioNTech",115620,0,115620
2021-01-16,"Moderna, Pfizer/BioNTech",118991,0,118991
2021-01-17,"Moderna, Pfizer/BioNTech",121441,632,122073
2021-01-18,"Moderna, Pfizer/BioNTech",133898,2428,136326
2021-01-19,"Moderna, Pfizer/BioNTech",146260,5121,151381
2021-01-20,"Moderna, Pfizer/BioNTech",159741,7741,167482
2021-01-21,"Moderna, Pfizer/BioNTech",175158,9459,184617
2021-01-22,"Moderna, Pfizer/BioNTech",189786,10490,200276
2021-01-23,"Moderna, Pfizer/BioNTech",193043,11354,204397
2021-01-24,"Moderna, Pfizer/BioNTech",195277,12215,207492
2021-01-25,"Moderna, Pfizer/BioNTech",204876,15144,220020
2021-01-26,"Moderna, Pfizer/BioNTech",215346,19095,234441
2021-01-27,"Moderna, Pfizer/BioNTech",224339,23575,247914
2021-01-28,"Moderna, Pfizer/BioNTech",231366,29648,261014
2021-01-29,"Moderna, Pfizer/BioNTech",237530,37407,274937
2021-01-30,"Moderna, Pfizer/BioNTech",238246,38486,276732
2021-01-31,Pfizer/BioNTech,238944,39616,278560
2021-02-01,"Moderna, Pfizer/BioNTech",242753,47428,290181
2021-02-02,"Moderna, Pfizer/BioNTech",246850,57557,304407
2021-02-03,"Moderna, Pfizer/BioNTech",251229,68483,319712
2021-02-04,"Moderna, Pfizer/BioNTech",256055,81352,337407
2021-02-05,"Moderna, Pfizer/BioNTech",261383,91917,353300
2021-02-06,"Moderna, Pfizer/BioNTech",262214,94229,356443
2021-02-07,"Moderna, Pfizer/BioNTech",263056,96550,359606
2021-02-08,"Moderna, Pfizer/BioNTech",267029,107846,374875
2021-02-09,"Moderna, Pfizer/BioNTech",272025,119661,391686
2021-02-10,"Moderna, Pfizer/BioNTech",277416,132707,410123
2021-02-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",283491,148615,432106
2021-02-12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",289862,163139,453001
2021-02-13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",291360,166077,457437
2021-02-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",292341,167440,459781
2021-02-15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",298491,176687,475178
2021-02-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",306836,185497,492333
2021-02-17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",316204,193626,509830
2021-02-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",328215,201480,529695
2021-02-19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",339597,208656,548253
2021-02-20,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",341455,209818,551273
2021-02-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",342449,210817,553266
2021-02-22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",352315,216768,569083
2021-02-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",364844,223633,588477
2021-02-24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",378431,229494,607925
2021-02-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",395706,234928,630634
2021-02-26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",411220,240106,651326
2021-02-27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",414095,240651,654746
2021-02-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",416405,241187,657592
2021-03-01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",434808,244457,679265
2021-03-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",460301,247758,708059
2021-03-03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",487997,251850,739847
2021-03-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",515743,255480,771223
