date,vaccine,people_vaccinated,people_fully_vaccinated,total_vaccinations
2020-12-27,Pfizer/BioNTech,1250,0,1250
2020-12-28,Pfizer/BioNTech,3543,0,3543
2020-12-29,Pfizer/BioNTech,6986,0,6986
2020-12-30,Pfizer/BioNTech,10454,0,10454
2020-12-31,Pfizer/BioNTech,11759,0,11759
2021-01-01,Pfizer/BioNTech,12019,0,12019
2021-01-02,Pfizer/BioNTech,13268,0,13268
2021-01-03,Pfizer/BioNTech,14181,0,14181
2021-01-04,Pfizer/BioNTech,17747,0,17747
2021-01-05,Pfizer/BioNTech,22239,0,22239
2021-01-06,Pfizer/BioNTech,28052,0,28052
2021-01-07,Pfizer/BioNTech,36003,0,36003
2021-01-08,Pfizer/BioNTech,45927,0,45927
2021-01-09,Pfizer/BioNTech,47935,0,47935
2021-01-10,Pfizer/BioNTech,49656,0,49656
2021-01-11,Pfizer/BioNTech,59433,0,59433
2021-01-12,Pfizer/BioNTech,72782,0,72782
2021-01-13,Pfizer/BioNTech,86247,0,86247
2021-01-14,"Moderna, Pfizer/BioNTech",101408,0,101408
2021-01-15,"Moderna, Pfizer/BioNTech",115324,0,115324
2021-01-16,"Moderna, Pfizer/BioNTech",118695,2,118697
2021-01-17,"Moderna, Pfizer/BioNTech",121288,633,121921
2021-01-18,"Moderna, Pfizer/BioNTech",133740,2358,136098
2021-01-19,"Moderna, Pfizer/BioNTech",146174,5055,151229
2021-01-20,"Moderna, Pfizer/BioNTech",159711,7671,167382
2021-01-21,"Moderna, Pfizer/BioNTech",175244,9389,184633
2021-01-22,"Moderna, Pfizer/BioNTech",189969,10422,200391
2021-01-23,"Moderna, Pfizer/BioNTech",193233,11287,204520
2021-01-24,"Moderna, Pfizer/BioNTech",195472,12148,207620
2021-01-25,"Moderna, Pfizer/BioNTech",205071,15086,220157
2021-01-26,"Moderna, Pfizer/BioNTech",215554,19035,234589
2021-01-27,"Moderna, Pfizer/BioNTech",224527,23516,248043
2021-01-28,"Moderna, Pfizer/BioNTech",231555,29593,261148
2021-01-29,"Moderna, Pfizer/BioNTech",237729,37376,275105
2021-01-30,"Moderna, Pfizer/BioNTech",238446,38455,276901
2021-01-31,Pfizer/BioNTech,239147,39593,278740
2021-02-01,"Moderna, Pfizer/BioNTech",243081,47454,290535
2021-02-02,"Moderna, Pfizer/BioNTech",247195,57605,304800
2021-02-03,"Moderna, Pfizer/BioNTech",251576,68543,320119
2021-02-04,"Moderna, Pfizer/BioNTech",256441,81439,337880
2021-02-05,"Moderna, Pfizer/BioNTech",261869,92029,353898
2021-02-06,"Moderna, Pfizer/BioNTech",262702,94357,357059
2021-02-07,"Moderna, Pfizer/BioNTech",263545,96825,360370
